table_schema,table_name,column_name,data_type,Table description
sttash_website_live,bureau_account_list,dateofentryforerrorordisputeremarkscode,date,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,dateoflastpayment,date,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,dateopenedordisbursed,date,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,datereportedandcertified,date,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,highcreditorsanctionedamount,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,ownershipindicator,integer,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,paymenthistoryenddate,date,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,paymenthistorystartdate,date,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,reportingmember,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,suitfiledorwilfuldefault,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,accountnumber,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,overdueamount,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,writtenoffandsettledstatus,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,valueofcollateral,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,typeofcollateral,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,creditlimit,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,cashlimit,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,rateofinterest,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,repaymenttenure,integer,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,emiamount,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,writtenoffamounttotal,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,writtenoffamountprincipal,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,settlementamount,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,paymentfrequence,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,actualpaymentamount,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,dateofentryforerrorcode,date,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,errorcode,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,dateofentryforbureauremarkscode,date,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,errorordisputeremarkscode1,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,errorordisputeremarkscode2,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,create_date,timestamp without time zone,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,lastpaymentamount,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,accountstatus,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,assetclassification,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,reason,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,extra_params,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_summary,id,bigint,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,customer_id,bigint,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,loan_id,bigint,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,report_id,bigint,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,from_bureau,smallint,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,no_of_accounts,integer,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,no_of_active_accounts,integer,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,no_of_write_offs,integer,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,total_past_due,numeric,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,most_severe_status_with_in_24months,character varying,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,single_highest_credit,numeric,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,single_highest_sanction_amount,numeric,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,total_high_credit,numeric,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,average_open_balance,numeric,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,single_highest_balance,numeric,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,no_of_past_due_accounts,integer,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,no_of_zero_balance_accounts,integer,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,recent_account_date,date,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,recent_account_type,character varying,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,oldest_account_date,date,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,oldest_account_type,character varying,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,total_balance_amount,numeric,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,total_sanction_amount,numeric,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,total_credit_limit,numeric,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,total_monthly_payment_amount,numeric,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_summary,create_date,timestamp without time zone,"This table contains summarized information for each credit account reported by the credit bureau for a customer. It includes fields such as current balance, highest credit, overdue amount, account status, and other key performance metrics used for evaluating the health and performance of each tradeline."
sttash_website_live,bureau_account_type,id,integer,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,use_status,character varying,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,account_type,character varying,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,status,smallint,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,min_value,integer,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,operation,character varying,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,max_value,integer,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,amount_parameter,character varying,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,loantype,character varying,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,account_type_code_equifax,character varying,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,account_type_code_cibil,character varying,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,sf_account_type,character varying,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,create_date,timestamp without time zone,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,account_type_code_crif,character varying,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_account_type,account_type_crif,character varying,"The table bureau_account_type is typically a master or lookup table that defines the types or categories of credit accounts reported by the bureau. ie.  Credit Card,Personal Loan,Home Loan,Auto Loan,Overdraft etc."
sttash_website_live,bureau_address,id,bigint,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,customer_id,bigint,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,loan_id,bigint,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,report_id,bigint,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,addresscategory,character varying,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,address,character varying,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,datereported,date,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,enrichedthroughtenquiry,character varying,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,pincode,character varying,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,statecode,character varying,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,residencecode,character varying,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,membername,character varying,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,create_date,timestamp without time zone,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_address,extra_params,character varying,"bureau_address contains the address records associated with a customer as reported in their bureau report, including type of address (residential, permanent, office), date reported, and geographic details such as city, state, and pincode."
sttash_website_live,bureau_enquiry,id,bigint,"The bureau_enquiry table stores the enquiry records made by lenders to the credit bureau regarding a customer. These enquiries occur whenever a customer applies for a credit product (like loans or credit cards), and are recorded by the bureau as part of the customer’s credit history."
sttash_website_live,bureau_enquiry,customer_id,bigint,"The bureau_enquiry table stores the enquiry records made by lenders to the credit bureau regarding a customer. These enquiries occur whenever a customer applies for a credit product (like loans or credit cards), and are recorded by the bureau as part of the customer’s credit history."
sttash_website_live,bureau_enquiry,loan_id,bigint,"The bureau_enquiry table stores the enquiry records made by lenders to the credit bureau regarding a customer. These enquiries occur whenever a customer applies for a credit product (like loans or credit cards), and are recorded by the bureau as part of the customer’s credit history."
sttash_website_live,bureau_enquiry,report_id,bigint,"The bureau_enquiry table stores the enquiry records made by lenders to the credit bureau regarding a customer. These enquiries occur whenever a customer applies for a credit product (like loans or credit cards), and are recorded by the bureau as part of the customer’s credit history."
sttash_website_live,bureau_enquiry,datereported,date,"The bureau_enquiry table stores the enquiry records made by lenders to the credit bureau regarding a customer. These enquiries occur whenever a customer applies for a credit product (like loans or credit cards), and are recorded by the bureau as part of the customer’s credit history."
sttash_website_live,bureau_enquiry,enquiryamount,numeric,"The bureau_enquiry table stores the enquiry records made by lenders to the credit bureau regarding a customer. These enquiries occur whenever a customer applies for a credit product (like loans or credit cards), and are recorded by the bureau as part of the customer’s credit history."
sttash_website_live,bureau_enquiry,enquirypurpose,character varying,"The bureau_enquiry table stores the enquiry records made by lenders to the credit bureau regarding a customer. These enquiries occur whenever a customer applies for a credit product (like loans or credit cards), and are recorded by the bureau as part of the customer’s credit history."
sttash_website_live,bureau_enquiry,reportingmember,character varying,"The bureau_enquiry table stores the enquiry records made by lenders to the credit bureau regarding a customer. These enquiries occur whenever a customer applies for a credit product (like loans or credit cards), and are recorded by the bureau as part of the customer’s credit history."
