table_schema,table_name,column_name,data_type
sttash_website_live,bureau_account_type,account_type_code_crif,character varying
sttash_website_live,bureau_account_type,account_type_crif,character varying
sttash_website_live,bureau_address,id,bigint
sttash_website_live,bureau_address,customer_id,bigint
sttash_website_live,bureau_address,loan_id,bigint
sttash_website_live,bureau_address,report_id,bigint
sttash_website_live,bureau_address,addresscategory,character varying
sttash_website_live,bureau_address,address,character varying
sttash_website_live,bureau_address,datereported,date
sttash_website_live,bureau_address,enrichedthroughtenquiry,character varying
sttash_website_live,bureau_address,pincode,character varying
sttash_website_live,bureau_address,statecode,character varying
sttash_website_live,bureau_address,residencecode,character varying
sttash_website_live,bureau_address,membername,character varying
sttash_website_live,bureau_address,create_date,timestamp without time zone
sttash_website_live,bureau_address,extra_params,character varying
sttash_website_live,bureau_enquiry,id,bigint
sttash_website_live,bureau_enquiry,customer_id,bigint
sttash_website_live,bureau_enquiry,loan_id,bigint
sttash_website_live,bureau_enquiry,report_id,bigint
sttash_website_live,bureau_enquiry,datereported,date
sttash_website_live,bureau_enquiry,enquiryamount,numeric
sttash_website_live,bureau_enquiry,enquirypurpose,character varying
sttash_website_live,bureau_enquiry,reportingmember,character varying
sttash_website_live,bureau_enquiry,create_date,timestamp without time zone
sttash_website_live,bureau_enquiry,extra_params,character varying
sttash_website_live,bureau_report_detail,id,bigint
sttash_website_live,bureau_report_detail,customer_id,bigint
sttash_website_live,bureau_report_detail,loan_id,bigint
sttash_website_live,bureau_report_detail,bureau_id,integer
sttash_website_live,bureau_report_detail,create_date,timestamp without time zone
sttash_website_live,bureau_report_detail,status,smallint
sttash_website_live,bureau_report_detail,raw_data_id,bigint
sttash_website_live,bureau_report_detail,bureau_product_code,character varying
sttash_website_live,bureau_report_detail,dpd_1_month,integer
sttash_website_live,bureau_report_detail,dpd_2_months,integer
sttash_website_live,bureau_report_detail,dpd_3_months,integer
sttash_website_live,bureau_report_detail,dpd_6_months,integer
sttash_website_live,bureau_report_detail,dpd_12_months,integer
sttash_website_live,bureau_report_detail,ever_dpd,integer
sttash_website_live,bureau_report_detail,dpd_char_count,integer
sttash_website_live,bureau_report_detail,credit_card_dpd_6_months,integer
sttash_website_live,bureau_report_detail,suit_filed_count,integer
sttash_website_live,bureau_report_detail,higest_sec_amount,numeric
sttash_website_live,bureau_report_detail,overdue,numeric
sttash_website_live,bureau_report_detail,score,integer
sttash_website_live,bureau_report_detail,error_code,character varying
sttash_website_live,bureau_report_detail,error,character varying
sttash_website_live,bureau_report_detail,memberreferencenumber,character varying
sttash_website_live,bureau_report_detail,enquirycontrolnumber,character varying
sttash_website_live,bureau_report_detail,extra_params,character varying
sttash_website_live,bureau_report_detail,admin_id,integer
sttash_website_live,bureau_report_detail,pulled_by_customer,smallint
sttash_website_live,campaignmaster,campaign_id,integer
sttash_website_live,campaignmaster,campaign_code,character varying
sttash_website_live,campaignmaster,campaign_start_date,timestamp without time zone
sttash_website_live,campaignmaster,campaign_end_date,timestamp without time zone
sttash_website_live,campaignmaster,campaign_city,character varying
sttash_website_live,campaignmaster,campaign_area,character varying
sttash_website_live,campaignmaster,campaign_utm_source,character varying
sttash_website_live,campaignmaster,campaign_utm_medium,character varying
sttash_website_live,campaignmaster,campaign_utm_term,character varying
sttash_website_live,campaignmaster,campaign_utm_content,character varying
sttash_website_live,campaignmaster,campaign_utm_campaign,character varying
sttash_website_live,campaignmaster,card_no,bigint
sttash_website_live,campaignmaster,organization_id,integer
sttash_website_live,campaignmaster,product_id,integer
sttash_website_live,campaignmaster,corp_sales,smallint
sttash_website_live,campaignmaster,agent_id,integer
sttash_website_live,campaignmaster,redirect_offer,smallint
sttash_website_live,campaignmaster,is_elevate,smallint
sttash_website_live,campaignmaster,is_utm_city,smallint
sttash_website_live,campaignmaster,is_dsa,smallint
sttash_website_live,cibil_accountlist,id,bigint
sttash_website_live,cibil_accountlist,customer_id,bigint
sttash_website_live,cibil_accountlist,loan_id,bigint
sttash_website_live,cibil_accountlist,accounttype,character varying
sttash_website_live,cibil_accountlist,cibilremarkcode,character varying
sttash_website_live,cibil_accountlist,currentbalance,real
sttash_website_live,cibil_accountlist,dateclosed,date
sttash_website_live,cibil_accountlist,dateofentryforerrorordisputeremarkscode,date
sttash_website_live,cibil_accountlist,dateoflastpayment,date
sttash_website_live,cibil_accountlist,dateopenedordisbursed,date
sttash_website_live,cibil_accountlist,datereportedandcertified,date
sttash_website_live,cibil_accountlist,highcreditorsanctionedamount,real
sttash_website_live,cibil_accountlist,ownershipindicator,integer
sttash_website_live,cibil_accountlist,paymenthistory1,character varying
sttash_website_live,cibil_accountlist,paymenthistory2,character varying
sttash_website_live,cibil_accountlist,paymenthistoryenddate,date
sttash_website_live,cibil_accountlist,paymenthistorystartdate,date
sttash_website_live,cibil_accountlist,reportingmembershortname,character varying
sttash_website_live,cibil_accountlist,suitfiledorwilfuldefault,character varying
sttash_website_live,cibil_accountlist,accountnumber,character varying
sttash_website_live,cibil_accountlist,overdueamount,real
sttash_website_live,cibil_accountlist,writtenoffandsettledstatus,character varying
sttash_website_live,cibil_accountlist,valueofcollateral,character varying
sttash_website_live,cibil_accountlist,typeofcollateral,character varying
sttash_website_live,cibil_accountlist,creditlimit,real
sttash_website_live,cibil_accountlist,cashlimit,real
sttash_website_live,cibil_accountlist,rateofinterest,real
sttash_website_live,cibil_accountlist,repaymenttenure,integer
sttash_website_live,cibil_accountlist,emiamount,real
sttash_website_live,cibil_accountlist,writtenoffamounttotal,real
sttash_website_live,cibil_accountlist,writtenoffamountprincipal,real
sttash_website_live,cibil_accountlist,settlementamount,real
sttash_website_live,cibil_accountlist,paymentfrequence,character varying
sttash_website_live,cibil_accountlist,actualpaymentamount,real
sttash_website_live,cibil_accountlist,dateofentryforerrorcode,date
sttash_website_live,cibil_accountlist,errorcode,character varying
sttash_website_live,cibil_accountlist,dateofentryforcibilremarkscode,date
sttash_website_live,cibil_accountlist,errorordisputeremarkscode1,character varying
sttash_website_live,cibil_accountlist,errorordisputeremarkscode2,character varying
sttash_website_live,cibil_scorelist,id,bigint
sttash_website_live,cibil_scorelist,customer_id,bigint
sttash_website_live,cibil_scorelist,loan_id,bigint
sttash_website_live,cibil_scorelist,reasoncode1,character varying
sttash_website_live,cibil_scorelist,reasoncode2,character varying
sttash_website_live,cibil_scorelist,score,character varying
sttash_website_live,cibil_scorelist,scorecardname,character varying
sttash_website_live,cibil_scorelist,scorecardversion,character varying
sttash_website_live,cibil_scorelist,scoredate,date
sttash_website_live,cibil_scorelist,scorename,character varying
sttash_website_live,cibil_scorelist,exclusioncode1,character varying
sttash_website_live,cibil_scorelist,exclusioncode2,character varying
sttash_website_live,cibil_scorelist,exclusioncode3,character varying
sttash_website_live,cibil_scorelist,exclusioncode4,character varying
sttash_website_live,cibil_scorelist,exclusioncode5,character varying
sttash_website_live,cibil_scorelist,exclusioncode6,character varying
sttash_website_live,cibil_scorelist,exclusioncode7,character varying
sttash_website_live,cibil_scorelist,exclusioncode8,character varying
sttash_website_live,cibil_scorelist,exclusioncode9,character varying
sttash_website_live,cibil_scorelist,exclusioncode10,character varying
sttash_website_live,cibil_scorelist,reasoncode3,character varying
sttash_website_live,cibil_scorelist,reasoncode4,character varying
sttash_website_live,cibil_scorelist,reasoncode5,character varying
sttash_website_live,cibil_scorelist,scoreerrorcode,character varying
sttash_website_live,cibil_scorelist,score_version,integer
sttash_website_live,cibil_scrub_data,id,integer
sttash_website_live,cibil_scrub_data,segment,character varying
sttash_website_live,cibil_scrub_data,version,integer
sttash_website_live,cibil_scrub_data,memberreference,character varying
sttash_website_live,cibil_scrub_data,enquirymemberid,character varying
sttash_website_live,cibil_scrub_data,subjectreturncode,integer
sttash_website_live,cibil_scrub_data,enquirycontrolnumber,character varying
sttash_website_live,cibil_scrub_data,create_date,timestamp without time zone
sttash_website_live,cibil_scrub_data,dateprocessed,date
sttash_website_live,cibil_scrub_data,timeprocessed,character varying
sttash_website_live,cibil_scrub_data,name,character varying
sttash_website_live,cibil_scrub_data,dateofbirth,timestamp without time zone
sttash_website_live,cibil_scrub_data,gender,integer
sttash_website_live,cibil_scrub_data,id_type,integer
sttash_website_live,cibil_scrub_data,id_number,character varying
sttash_website_live,cibil_scrub_data,issue_date,timestamp without time zone
sttash_website_live,cibil_scrub_data,expiration_date,timestamp without time zone
sttash_website_live,cibil_scrub_data,enr_enq_id,integer
sttash_website_live,cibil_scrub_data,telephone,character varying
sttash_website_live,cibil_scrub_data,tel_extn,character varying
sttash_website_live,cibil_scrub_data,tel_type,integer
sttash_website_live,cibil_scrub_data,enr_enq_pt,character varying
sttash_website_live,cibil_scrub_data,email_id,character varying
sttash_website_live,cibil_scrub_data,account_type_empseg,integer
sttash_website_live,cibil_scrub_data,datereported_employment,timestamp without time zone
sttash_website_live,cibil_scrub_data,occupation_code,integer
sttash_website_live,cibil_scrub_data,income,double precision
sttash_website_live,cibil_scrub_data,net_gross_indicator,character varying
sttash_website_live,cibil_scrub_data,monthly_annual_indicator,character varying
sttash_website_live,cibil_scrub_data,dateofentry_errorcode_em,timestamp without time zone
sttash_website_live,cibil_scrub_data,errorcode_em,character varying
sttash_website_live,cibil_scrub_data,date_cibilremarkscode_em,timestamp without time zone
sttash_website_live,cibil_scrub_data,cibilremarkscode_em,character varying
sttash_website_live,cibil_scrub_data,disputeremarkscode_em,character varying
sttash_website_live,cibil_scrub_data,disputeremarkscode1_em,character varying
sttash_website_live,cibil_scrub_data,disputeremarkscode2_em,character varying
sttash_website_live,cibil_scrub_data,acct_number,character varying
sttash_website_live,cibil_scrub_data,scorename,character varying
sttash_website_live,cibil_scrub_data,scorecardname,integer
sttash_website_live,cibil_scrub_data,scorecardversion,integer
sttash_website_live,cibil_scrub_data,scoredate,timestamp without time zone
sttash_website_live,cibil_scrub_data,score,integer
sttash_website_live,cibil_scrub_data,exclusioncode1,character varying
sttash_website_live,cibil_scrub_data,exclusioncode2,character varying
sttash_website_live,cibil_scrub_data,exclusioncode3,character varying
sttash_website_live,cibil_scrub_data,exclusioncode4,character varying
sttash_website_live,cibil_scrub_data,exclusioncode5,character varying
sttash_website_live,cibil_scrub_data,exclusioncode6,character varying
sttash_website_live,cibil_scrub_data,exclusioncode7,character varying
sttash_website_live,cibil_scrub_data,exclusioncode8,character varying
sttash_website_live,cibil_scrub_data,exclusioncode9,character varying
sttash_website_live,cibil_scrub_data,exclusioncode10,character varying
sttash_website_live,cibil_scrub_data,reasoncode1,character varying
sttash_website_live,cibil_scrub_data,reasoncode2,character varying
sttash_website_live,cibil_scrub_data,reasoncode3,character varying
sttash_website_live,cibil_scrub_data,reasoncode4,character varying
sttash_website_live,cibil_scrub_data,reasoncode5,character varying
sttash_website_live,cibil_scrub_data,errorcode,character varying
sttash_website_live,cibil_scrub_data,address,character varying
sttash_website_live,cibil_scrub_data,statecode,integer
sttash_website_live,cibil_scrub_data,pincode,integer
sttash_website_live,cibil_scrub_data,address_cat,integer
sttash_website_live,cibil_scrub_data,res_code,character varying
sttash_website_live,cibil_scrub_data,datereported_address,timestamp without time zone
sttash_website_live,cibil_scrub_data,membershortname,character varying
sttash_website_live,cibil_scrub_data,enr_enq_pa,character varying
sttash_website_live,cibil_scrub_data,reportingmembershortname,character varying
sttash_website_live,cibil_scrub_data,accountnumber,character varying
sttash_website_live,cibil_scrub_data,accounttype,character varying
sttash_website_live,cibil_scrub_data,ownershipindicator,integer
sttash_website_live,cibil_scrub_data,dateopeneddisbursed,timestamp without time zone
sttash_website_live,cibil_scrub_data,dateoflastpayment,timestamp without time zone
sttash_website_live,cibil_scrub_data,dateclosed,timestamp without time zone
sttash_website_live,cibil_scrub_data,datereported_trades,timestamp without time zone
sttash_website_live,cibil_scrub_data,highcreditsanctionedamount,real
sttash_website_live,cibil_scrub_data,currentbalance,real
sttash_website_live,cibil_scrub_data,amountoverdue,real
sttash_website_live,cibil_scrub_data,paymt_hst_01,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_02,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_03,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_04,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_05,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_06,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_07,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_08,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_09,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_10,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_11,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_12,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_13,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_14,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_15,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_16,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_17,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_18,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_19,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_20,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_21,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_22,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_23,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_24,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_25,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_26,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_27,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_28,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_29,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_30,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_31,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_32,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_33,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_34,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_35,character varying
sttash_website_live,cibil_scrub_data,paymt_hst_36,character varying
sttash_website_live,cibil_scrub_data,pay_hist_start_date,timestamp without time zone
sttash_website_live,cibil_scrub_data,pay_hist_end_date,timestamp without time zone
sttash_website_live,cibil_scrub_data,suit_filed_status,character varying
sttash_website_live,cibil_scrub_data,credit_facility_status,integer
sttash_website_live,cibil_scrub_data,collateral_type,character varying
sttash_website_live,cibil_scrub_data,collateral_value,double precision
sttash_website_live,cibil_scrub_data,credit_limit,double precision
sttash_website_live,cibil_scrub_data,cash_limit,double precision
sttash_website_live,cibil_scrub_data,roi,real
sttash_website_live,cibil_scrub_data,tenure,integer
sttash_website_live,cibil_scrub_data,emi_amt,double precision
sttash_website_live,cibil_scrub_data,writeoff_amt_tot,double precision
sttash_website_live,cibil_scrub_data,writeoff_amt_prin,double precision
sttash_website_live,cibil_scrub_data,settlement_amt,double precision
sttash_website_live,cibil_scrub_data,paymt_freq,real
sttash_website_live,cibil_scrub_data,actual_paymt_amt,double precision
sttash_website_live,cibil_scrub_data,dateofentry_errorcode_tl,timestamp without time zone
sttash_website_live,cibil_scrub_data,errorcode_tl,character varying
sttash_website_live,cibil_scrub_data,date_cibilremarkscode_tl,timestamp without time zone
sttash_website_live,cibil_scrub_data,cibilremarkscode_tl,character varying
sttash_website_live,cibil_scrub_data,disputeremarkscode_tl,character varying
sttash_website_live,cibil_scrub_data,disputeremarkscode1_tl,character varying
sttash_website_live,cibil_scrub_data,disputeremarkscode2_tl,character varying
sttash_website_live,cibil_scrub_data,dateofenquiry,timestamp without time zone
sttash_website_live,cibil_scrub_data,enquiringmembershortname,character varying
sttash_website_live,cibil_scrub_data,enquirypurpose,integer
sttash_website_live,cibil_scrub_data,enquiryamount,double precision
sttash_website_live,cibil_scrub_data,disputeremarksline1,character varying
sttash_website_live,cibil_scrub_data,disputeremarksline2,character varying
sttash_website_live,cibil_scrub_data,disputeremarksline3,character varying
sttash_website_live,cibil_scrub_data,disputeremarksline4,character varying
sttash_website_live,cibil_scrub_data,disputeremarksline5,character varying
sttash_website_live,cibil_scrub_data,disputeremarksline6,character varying
sttash_website_live,cibil_scrub_data,is_moved,smallint
sttash_website_live,collection_comment_data,id,bigint
sttash_website_live,collection_comment_data,customer_id,bigint
sttash_website_live,collection_comment_data,comment_id,character varying
sttash_website_live,collection_comment_data,collection_status,smallint
sttash_website_live,collection_comment_data,callback_date,timestamp without time zone
sttash_website_live,collection_comment_data,ptp_date,timestamp without time zone
sttash_website_live,collection_comment_data,ptp_amount,double precision
sttash_website_live,collection_comment_data,collected_amount,double precision
sttash_website_live,collection_comment_data,waiver_amount,double precision
sttash_website_live,collection_comment_data,attachement,character varying
sttash_website_live,collection_comment_data,create_date,timestamp without time zone
sttash_website_live,collection_comment_data,add_user_id,integer
sttash_website_live,collection_comment_data,pod_number,integer
sttash_website_live,collection_comment_data,dis_head,smallint
sttash_website_live,collection_comment_data,dis_body,smallint
sttash_website_live,collection_comment_data,dis_sub,integer
sttash_website_live,collection_comment_data,comment,character varying
sttash_website_live,collection_comment_data,ticket_assign_to,integer
sttash_website_live,collection_comment_data,stop_calling_date,timestamp without time zone
sttash_website_live,collection_comment_data,delay_id,integer
sttash_website_live,collection_disposition,id,integer
sttash_website_live,collection_disposition,head_id,integer
sttash_website_live,collection_disposition,disposition,character varying
sttash_website_live,collection_disposition_header,id,integer
sttash_website_live,collection_disposition_header,header,character varying
sttash_website_live,collection_disposition_header,status,integer
sttash_website_live,collection_due_date,id,integer
sttash_website_live,collection_due_date,customer_id,integer
sttash_website_live,collection_due_date,due_date,character varying
sttash_website_live,collection_due_date,update_date,timestamp without time zone
sttash_website_live,collection_status,id,integer
sttash_website_live,collection_status,name,character varying
sttash_website_live,collection_status,status,smallint
sttash_website_live,collection_sub_disposition,id,integer
sttash_website_live,collection_sub_disposition,head_id,integer
sttash_website_live,collection_sub_disposition,disp_id,integer
sttash_website_live,collection_sub_disposition,sub_disposition,character varying
sttash_website_live,collection_view,id,numeric
sttash_website_live,collection_view,customer_id,bigint
sttash_website_live,collection_view,customer_name,character varying
sttash_website_live,collection_view,loan_ids,character varying
sttash_website_live,collection_view,fullerton_id,character varying
sttash_website_live,collection_view,emiamount,character varying
sttash_website_live,collection_view,pan_number,character varying
sttash_website_live,collection_view,aadhar_number,character varying
sttash_website_live,collection_view,aadhar_name,character varying
sttash_website_live,collection_view,dob,date
sttash_website_live,collection_view,city_name,character varying
sttash_website_live,collection_view,city_id,integer
sttash_website_live,collection_view,address,character varying
sttash_website_live,collection_view,pincode,character varying
sttash_website_live,collection_view,designation,character varying
sttash_website_live,collection_view,company_name,character varying
sttash_website_live,collection_view,permannet_address,character varying
sttash_website_live,collection_view,office_address,character varying
sttash_website_live,collection_view,office_pin,character varying
sttash_website_live,collection_view,salary,character varying
sttash_website_live,collection_view,salary_date,integer
sttash_website_live,collection_view,reference1,character varying
sttash_website_live,collection_view,reference2,character varying
sttash_website_live,collection_view,office_email,character varying
sttash_website_live,collection_view,bank_name,character varying
sttash_website_live,collection_view,no_of_loan,integer
sttash_website_live,collection_view,disbursed_amount,double precision
sttash_website_live,collection_view,principal_overdue,double precision
sttash_website_live,collection_view,interest_overdue,double precision
sttash_website_live,collection_view,total_emi_amount_overdue,double precision
sttash_website_live,collection_view,total_par,double precision
sttash_website_live,collection_view,cbc,double precision
sttash_website_live,collection_view,lpp,double precision
sttash_website_live,collection_view,charge,double precision
sttash_website_live,collection_view,total_overdue_amount,double precision
sttash_website_live,collection_view,due_date,date
sttash_website_live,collection_view,daynum,integer
sttash_website_live,collection_view,ageing,integer
sttash_website_live,collection_view,next_emi_date,date
sttash_website_live,collection_view,emi_status,character varying
sttash_website_live,collection_view,collection_status,integer
sttash_website_live,collection_view,status,character varying
sttash_website_live,collection_view,bounce_reason,character varying
sttash_website_live,collection_view,cl_lead_assign_id,integer
sttash_website_live,collection_view,agent_name,character varying
sttash_website_live,collection_view,fos_agent,character varying
sttash_website_live,collection_view,ptp_date,timestamp without time zone
sttash_website_live,collection_view,product_code,character varying
sttash_website_live,collection_view,product_type,character varying
sttash_website_live,collection_view,level,integer
sttash_website_live,collection_view,assigned_level,integer
sttash_website_live,collection_view,utm_source,character varying
sttash_website_live,collection_view,create_date,timestamp without time zone
sttash_website_live,collection_view,update_date,timestamp without time zone
sttash_website_live,collection_view,ocpc,smallint
sttash_website_live,collection_view,is_ocpc,smallint
sttash_website_live,collection_view,risk_seg,character varying
sttash_website_live,collection_view,index,integer
sttash_website_live,company_entity,id,integer
sttash_website_live,company_entity,company_name,character varying
sttash_website_live,company_entity,created_date,timestamp without time zone
sttash_website_live,company_entity,xirr,real
sttash_website_live,company_entity,perc_with_akara,real
sttash_website_live,company_entity,is_colender,smallint
sttash_website_live,company_entity,utility_code,character varying
sttash_website_live,company_entity,website,character varying
sttash_website_live,company_entity,mandate_type_id,integer
sttash_website_live,company_entity,is_presented,integer
sttash_website_live,company_entity,sponsor_bank_code,character varying
sttash_website_live,company_entity,company_full_name,character varying
sttash_website_live,company_entity,officer_name,character varying
sttash_website_live,company_entity,officer_other_details,character varying
sttash_website_live,company_entity,officer1_name,character varying
sttash_website_live,company_entity,officer1_other_details,character varying
sttash_website_live,equifax_account_summary, account_summary_id,integer
sttash_website_live,equifax_account_summary,customer_id,integer
sttash_website_live,equifax_account_summary,loan_id,integer
sttash_website_live,equifax_account_summary,no_of_accounts,integer
sttash_website_live,equifax_account_summary,no_of_active_accounts,integer
sttash_website_live,equifax_account_summary,no_of_write_offs,integer
sttash_website_live,equifax_account_summary,total_past_due,numeric
sttash_website_live,equifax_account_summary,most_severe_status_with_in_24months,character varying
sttash_website_live,equifax_account_summary,single_highest_credit,numeric
sttash_website_live,equifax_account_summary,single_highest_sanction_amount,numeric
sttash_website_live,equifax_account_summary,total_high_credit,numeric
sttash_website_live,equifax_account_summary,average_open_balance,numeric
sttash_website_live,equifax_account_summary,single_highest_balance,numeric
sttash_website_live,equifax_account_summary,no_of_past_due_accounts,integer
sttash_website_live,equifax_account_summary,no_of_zero_balance_accounts,integer
sttash_website_live,equifax_account_summary,recent_account,character varying
sttash_website_live,equifax_account_summary,oldest_account,character varying
sttash_website_live,equifax_account_summary,total_balance_amount,numeric
sttash_website_live,equifax_account_summary,total_sanction_amount,numeric
sttash_website_live,equifax_account_summary,total_credit_limit,numeric
sttash_website_live,equifax_account_summary,total_monthly_payment_amount,numeric
sttash_website_live,equifax_api_request_inquiry,api_request_inquiry_id,bigint
